Content,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,9365,202.0785,35,51436,11.86
96wEPKlI70M,zooby  zooby song | Checkmate | Harsh Beniwal | 2023,"Jul 13, 2023",634,5.7308,0,4647,8.56
VOWoIW8mdLM,world smallest piano edit #valorant #shorts #operator #edit #symphony #headshot  #charon,"Dec 25, 2022",303,1.3396,4,391,6.65
28jVcZf1dbU,LSM,,25,1.8496,0,0,
7qPid_-SInI,CHARON the boys valorant edition #shorts #valorant #funnymoments #meme #bones #theboys,"Dec 27, 2022",25,0.2464,0,142,4.23
kopGcb_a74Q,when teammate spoils ace #valorant #sage #ace #shorts #trending #strape,"Dec 24, 2022",19,0.1202,0,100,8
bK4S6FMyqPU,Charon taking ACE in Valorant with Yoru,"Oct 15, 2022",18,0.4775,2,50,14
l05e-vXsLZQ,VALORANT WITH ABHISHEK,"Jun 8, 2022",15,0.819,0,123,8.13
zCgefdo62Rg,sage triple OP shots #valorant #sniper #sage #tripleshot #operator,"Dec 24, 2022",15,0.1249,0,97,7.22
5OUgGD931zA,trial_2,"Apr 17, 2022",14,3.5049,2,247,5.26
C9Busip-JkA,valorant jsfsijf,"Feb 20, 2023",13,0.6347,0,36,13.89
UQwxkTROzQM,Live streaming testing for blackbox with yash mahajan,"Jun 7, 2022",11,0.2809,0,115,6.96
DZjgSxtGPUc,testing,,10,0.2518,0,3,33.33
W-az6wFjxck,TRIAL_1,"Apr 16, 2022",9,0.2971,1,42,19.05
1KLc0enAhOc,valoStream,"Jun 24, 2022",8,0.2222,0,56,7.14
DBaqWD_ngtI,blackbox test2,"Jun 6, 2022",8,0.0224,0,73,4.11
QpRW5cc1nJ4,valo stream #69 with Abhishek,"Jul 17, 2022",7,0.2953,0,63,7.94
__ZNg5DonNA,world smallest piano,"Dec 25, 2022",7,0.0278,0,52,9.62
Q73kD_-hI4U,VALORANT WITH ABHISHEK,,4,0.0038,0,0,
bhoUuAgIhqY,VALORANT  testing,"Jul 10, 2023",4,0.0744,0,39,7.69
DZhK9yU7nxs,trial,,3,0.0079,0,0,
L1UEWBpTZkY,valo stream #69 with Abhishek,"Jul 17, 2022",3,0.003,0,45,2.22
WKK_e4nFVZg,valo compi,"Jul 28, 2022",3,0.0149,0,38,2.63
nGMPh8qCWEc,My Broadcast,"Jan 31, 2023",3,0.0068,0,14,14.29
v9oNkfHsiHs,fckkk,"Aug 6, 2021",3,0.0022,0,0,
3ywuzN9jtF8,VALORANT STREAM | HAPPY HOLI | MALLU GANG,"Mar 8, 2023",2,0.0601,0,23,4.35
4hbFYaQ3BTg,CHARON the boys Valorant Edition #shorts #valorant #theboys #bones #funny #funnymoments #memes,"Dec 27, 2022",2,0.0147,0,0,
FPwXGPNu3nc,coding with honey,,2,0.0092,0,0,
InJy8bULOWE,IRON 3 COMPI VALORANT,,2,0.0406,0,0,
1OFdZh-flA4,valoStream 24june,"Jun 24, 2022",1,0.0951,0,8,0
9WyqCJVDxuE,valo stream 369 with abhishek,,1,0.0235,0,0,
XUdpll43JEs,VALORANT  testing,,1,0.0885,0,0,
iOgFGPRNB6E,Valo stream #69,,1,0.0242,0,0,
